tire,dry braking
Hankook Ventus Prime 4,35.8
Kleber Dynaxer HP4,36.2
Kumho Ecsta HS52,
Laufenn S Fit EQ Plus,36.5
Maxxis Premitra HP5,37.3
Michelin Primacy 4,36.2
Nexen N Fera Primus,
Nokian PowerProof,35.7
Sava Intensa UHP 2,36.3
Toyo Proxes Comfort,
Vredestein Ultrac,36.1
