tire model,wet braking
Hankook Ventus Prime 4,43.5
Kleber Dynaxer HP4,46.7
Kumho Ecsta HS52,44.7
Laufenn S Fit EQ Plus,51
Nexen N Fera Primus,44.7
Nokian PowerProof,45.2
Sava Intensa UHP 2,46.5
Toyo Proxes Comfort,46.3
Vredestein Ultrac,44
